57,V5_BT_LANG4,한국어,한국어,한국어,한국어,
58,V5_BT_LANG5,繁体字,Traditional Chinese,繁体字,중국어 번체,
59,V5_BT_LANG6,Español,Español,Español,Español,

#======view rireki
60,V7_LB_CHEAK,到着,Arrival,到达,도착,
61,V7_LB_TIME,時間,time,时间,시간,
62,V7_LB_NAME,名前,name,名字,이름,
63,V7_LB_SARA,数量,count,数量,수량,
64,V7_LB_WASABI,わさび,wasabi,芥末,와사비,
65,V7_BT_NEXT,前へ,PRE,上一頁,이전,
66,V7_BT_PRE,次へ,NEXT,下一頁,다음,
67,V7_BT_BACK,戻る,back,返回,돌아 가기,

#view help
70,V8_LB_UPDATE,データー更新中です。@申し訳ございませんが@しばらくお待ち下さい。,Data is being updated. @ There is not excuse,数据更新中@十分抱歉，@请稍等片刻。,데이터 갱신중입니다@죄송합니다만@잠시동안 기다려 @주십시오,
71,V8_LB_KAIKEI,ただいま従業員が@参ります。@しばらくお待ち下さい。,Employees go now. @please wait for a while.,店员马上@就会过来。@请稍等片刻。,종업원이 @방문하겠습니다. @잠시만 기다려주십시오.,
72,V8_LB_HELP,ただいま従業員が@参ります。@しばらくお待ち下さい。,Employees go now. @please wait for a while.,店员马上@就会过来。@请稍等片刻。,종업원이 @방문하겠습니다. @잠시만 기다려주십시오.,
73,V8_LB_KOUSOKUBACK,高速レーンが@バックします。,high-speed lane @ does back of. ,高速传送带@正在返回。,고속 레인이 @역주합니다.,
74,V8_LB_FTP_MISS,FTPの受信失敗,Reception failure of FTP ,FTP接收失败,FTP 수신 실패,
75,V8_LB_FTP_PROSESS,FTP受信進捗,FTP reception progress ,FTP接收进度,FTP 수신 진척,

80,COMMON_UNIT_NAME1,皿,plate,碟子,접시,
81,COMMON_UNIT_NAME2,本,piece,根,개,
82,COMMON_UNIT_NAME3,個,piece,个,개,
83,COMMON_UNIT_NAME4,杯,cup,杯,잔,
84,COMMON_WASABI_NEED,わさび有り,need wasabi ,芥末有,와사비 있음,
85,COMMON_WASABI_NO,わさび無し,no wasabi,芥末无,와사비 없음,

#======view keikei
90,V9_KAIKEI_BACK,戻る,back,返回,돌아 가기,
91,V9_KAIKEI_TITLE,会計,Accounts,结帐,회계,
92,V9_KAIKEI_TITLE_SUB,しばらく@お待ち下さい,wait a@ minute,请稍等@片刻,잠시 @기다려주세요,
93,V9_KAIKEI_TITLE_CAT1,①投入皿数,①palate count,①投入盘数,①투입 접시 수,
94,V9_KAIKEI_TITLE_CAT2,②サイドメニュー注文,②side menu order,②副菜单点餐,②사이드 메뉴 주문,

#======andorder
101,EX_LIMITPAGE_MSG_TEXT,下記ページの商品はすぐに注文可能です,items of the next page @ order can be placed immediately,以下页面的商品立即可以点餐,다음 페이지의 상품은 즉시 주문 가능합니다.,
102,EX_ORDER_SELF_TITLE,こちらの商品はセルフコーナーにございます,you can get this item in the self corner,以下商品位于自助商品区,여기의 상품은 셀프 코너에 있습니다,]
#======game skip
110,GAMESKIP_IN,ビッくらポンを@実施しますか？@Would you like to play@ Bikkurapon game?,Would you like to play@ Bikkurapon game?,實施遊戲(ビッくらポン)嗎,게임을 실시합니까,
111,GAMESKIP_ON,ビッくらポンを@実施しません。@Not play Bikkurapon game.,Not play Bikkurapon game.,OK! @不實施遊戲,OK! @게임을 실시하지 않는다,
112,GAMESKIP_OFF,ビッくらポンを@実施します。@Play Bikkurapon game.,Play Bikkurapon game.,OK! @實施遊戲,OK! 게임을 실시한다,

113,GAMESKIP_REIN,ビッくらポンを@実施しますか？@Would you like to play@ Bikkurapon game?,Would you like to play@ Bikkurapon game?,實施遊戲(ビッくらポン)嗎,게임을 실시합니까,
114,GAMESKIP_MAIN_ON,ゲーム@しない,GAME@OFF,GAME@OFF,GAME@OFF,
115,GAMESKIP_MAIN_OFF,ゲーム@する,GAME@ON,GAME@ON,GAME@ON,

116,GAMESKIP_BUTTON_ON,しない/No,No,GAME@OFF,GAME@OFF,
117,GAMESKIP_BUTTON_OFF,する/Yes,Yes,GAME@ON,GAME@ON,
#======sinagire
118,SINAGIRE_DISP_LABEL,品切れ,out of stock,out of stock,out of stock,

#======
119,KAIKEI_ACCEPT_BT,確認,ACCEPT,接受,동의하기,
120,KAIKEI_HELP_BT,呼出,HELP,呼叫,호출,
121,SELECT_MENU_TITLE_TEXT,チェックアウト方法を選択:,Select Checkout Method:,选择一种结帐方法：,결제 방법을 선택하십시오.,
122,SELF_CHECKOUT_IMG_BT,pay_ja.png,pay_en.png,pay_cn.png,pay_ko.png,
123,SERVER_CHECKOUT_IMG_BT,cash_ja.png,cash_en.png,cash_cn.png,cash_ko.png,
124,SELECT_MENU_ANNOTATION_TEXT,*セルフチェックアウトでは現金はサポートされていません。,* Cash is not supported for Self Checkout.,*自助结帐不支持现金,* 셀프 체크 아웃에는 현금이 지원되지 않습니다,
125,SELF_CHECKOUT_TITLE,スマホ決済方法の選択,PAY WITH YOUR PHONE,用手机付款,전화로 지불,
126,NFC_ANNOTATION,nfc_ja.png,nfc_en.png,nfc_cn.png,nfc_ko.png,
127,QR_CODE_SCAN_ANNOTATION,scan_ja.png,scan_en.png,scan_cn.png,scan_ko.png,
128,USA_DRINK_ERR_CALL,店員を呼出しております。@しばらくお待ちください。,Please wait. A server will assist you shorty.,我打电话给店员@请稍候,점원을 부르고 있습니다@ 기다려주십시오,
